Postcode,County
CF62,Vale of Glamorgan
CF62,Vale of Glamorgan
CF63,Vale of Glamorgan
CF63,Vale of Glamorgan
CF64,Vale of Glamorgan
CF64,Vale of Glamorgan
CF7,Cardiff
CF7,Cardiff
CF71,Vale of Glamorgan
CF71,Vale of Glamorgan
CF72,Vale of Glamorgan
CF72,Vale of Glamorgan
CF8,Cardiff
CF8,Cardiff
CF81,Caerphilly
CF81,Caerphilly
CF82,Caerphilly
CF82,Caerphilly
CF83,Caerphilly
CF83,Caerphilly
CF91,Cardiff
CF91,Cardiff
CF95,Cardiff
CF95,Cardiff
CF99,Cardiff
CF99,Cardiff
CH1,Cheshire
CH1,Cheshire
CH2,Cheshire
CH2,Cheshire
CH25,Cheshire
CH25,Cheshire
CH26,Cheshire
CH26,Cheshire
CH27,Cheshire
CH27,Cheshire
CH28,Cheshire
CH28,Cheshire
CH29,Cheshire
CH29,Cheshire
CH3,Cheshire
CH3,Cheshire
CH30,Cheshire
CH30,Cheshire
CH31,Cheshire
CH31,Cheshire
CH32,Cheshire
CH32,Cheshire
CH33,Cheshire
CH33,Cheshire
CH34,Cheshire
CH34,Cheshire
CH4,Cheshire
CH4,Cheshire
CH41,Merseyside
CH41,Merseyside
CH42,Merseyside
CH42,Merseyside
CH43,Merseyside
CH43,Merseyside
CH44,Merseyside
CH44,Merseyside
CH45,Merseyside
CH45,Merseyside
CH46,Merseyside
CH46,Merseyside
CH47,Merseyside
CH47,Merseyside
CH48,Merseyside
CH48,Merseyside
CH49,Merseyside
CH49,Merseyside
CH5,Flintshire
CH5,Flintshire
CH6,Flintshire
CH6,Flintshire
CH60,Merseyside
CH60,Merseyside
CH61,Merseyside
CH61,Merseyside
CH62,Merseyside
CH62,Merseyside
CH63,Merseyside
CH63,Merseyside
CH64,Merseyside
CH64,Merseyside
CH65,Cheshire
CH65,Cheshire
CH66,Cheshire
CH66,Cheshire
CH7,Flintshire
CH7,Flintshire
CH70,Cheshire
CH70,Cheshire
CH8,Flintshire
CH8,Flintshire
CH88,Cheshire
CH88,Cheshire
CH99,Cheshire
CH99,Cheshire
CM0,Essex
CM0,Essex
CM1,Essex
CM1,Essex
CM11,Essex
CM11,Essex
CM12,Essex
CM12,Essex
CM13,Essex
CM13,Essex
CM14,Essex
CM14,Essex
CM15,Essex
CM15,Essex
CM16,Essex
CM16,Essex
CM17,Essex
CM17,Essex
CM18,Essex
CM18,Essex
CM19,Essex
CM19,Essex
CM2,Essex
CM2,Essex
CM20,Essex
CM20,Essex
CM21,Essex
CM21,Essex
CM22,Essex
CM22,Essex
CM23,Essex
CM23,Essex
CM24,Essex
CM24,Essex
CM3,Essex
CM3,Essex
CM4,Essex
CM4,Essex
CM5,Essex
CM5,Essex
CM6,Essex
CM6,Essex
CM7,Essex
CM7,Essex
CM77,Essex
CM77,Essex
CM8,Essex
CM8,Essex
CM9,Essex
CM9,Essex
CM92,Essex
CM92,Essex
CM98,Essex
CM98,Essex
CM99,Essex
CM99,Essex
CO1,Essex
CO10,Suffolk
CO11,Essex
CO12,Essex
CO13,Essex
CO14,Essex
CO15,Essex
CO16,Essex
CO2,Essex
CO3,Essex
CO4,Essex
CO5,Essex
CO6,Essex
CO7,Essex
CO8,Essex
CO9,Essex
CR0,Greater London
CR2,Greater London
CR3,Surrey
CR4,Greater London
CR44,Greater London
CR5,Surrey
CR6,Surrey
CR7,Greater London
CR8,Greater London
CR9,Greater London
CR90,Greater London
CT1,Kent
CT10,Kent
CT11,Kent
CT12,Kent
CT13,Kent
CT14,Kent
CT15,Kent
CT16,Kent
CT17,Kent
CT18,Kent
CT19,Kent
CT2,Kent
CT20,Kent
CT21,Kent
CT3,Kent
CT4,Kent
CT5,Kent
CT50,Kent
CT6,Kent
CT7,Kent
CT8,Kent
CT9,Kent
CV1,West Midlands
CV10,Warwickshire
CV11,Warwickshire
CV12,Warwickshire
CV13,Leicestershire
CV2,West Midlands
CV21,Warwickshire
CV22,Warwickshire
CV23,Warwickshire
CV3,West Midlands
CV31,Warwickshire
CV32,Warwickshire
CV33,Warwickshire
CV34,Warwickshire
CV35,Warwickshire
CV36,Warwickshire
CV37,Warwickshire
CV4,West Midlands
CV47,Warwickshire
CV5,West Midlands
CV6,West Midlands
CV7,Warwickshire
CV8,Warwickshire
CV9,Warwickshire
CW1,Cheshire
CW10,Cheshire
CW11,Cheshire
CW12,Cheshire
CW2,Cheshire
CW3,Staffordshire
CW4,Cheshire
CW5,Cheshire
CW6,Cheshire
CW7,Cheshire
CW8,Cheshire
CW9,Cheshire
CW98,Cheshire
DA1,Kent
DA10,Kent
DA11,Kent
DA12,Kent
DA13,Kent
DA14,Greater London
DA15,Greater London
DA16,Greater London
DA17,Greater London
DA18,Greater London
DA2,Kent
DA3,Kent
DA4,Kent
DA5,Kent
DA6,Kent
DA7,Kent
DA8,Kent
DA9,Kent
DD1,Angus
DD10,Angus
DD11,Angus
DD2,Angus
DD3,Angus
DD4,Angus
DD5,Angus
DD6,Fife
DD7,Angus
DD8,Angus
DD9,Angus
DE1,Derbyshire
DE11,Derbyshire
DE12,Leicestershire
DE13,Staffordshire
DE14,Staffordshire
DE15,Staffordshire
DE2,Derbyshire
DE21,Derbyshire
DE22,Derbyshire
DE23,Derbyshire
DE24,Derbyshire
DE3,Derbyshire
DE4,Derbyshire
DE45,Derbyshire
DE5,Derbyshire
DE55,Derbyshire
DE56,Derbyshire
DE6,Derbyshire
DE65,Derbyshire
DE7,Derbyshire
DE72,Derbyshire
DE73,Derbyshire
DE74,Derbyshire
DE75,Derbyshire
DE99,Derbyshire
DG1,Dumfries and Galloway
DG10,Dumfries and Galloway
DG11,Dumfries and Galloway
DG12,Dumfries and Galloway
DG13,Dumfries and Galloway
DG14,Dumfries and Galloway
DG16,Dumfries and Galloway
DG2,Dumfries and Galloway
DG3,Dumfries and Galloway
DG4,Dumfries and Galloway
DG5,Dumfries and Galloway
DG6,Dumfries and Galloway
DG7,Dumfries and Galloway
DG8,Dumfries and Galloway
DG9,Dumfries and Galloway
DH1,County Durham
DH2,County Durham
DH3,County Durham
DH4,County Durham
DH5,County Durham
DH6,County Durham
DH7,County Durham
DH8,County Durham
DH9,County Durham
DH97,County Durham
DH98,County Durham
DH99,County Durham
DL1,County Durham
DL10,North Yorkshire
DL11,North Yorkshire
DL12,County Durham
DL13,County Durham
DL14,County Durham
DL15,County Durham
DL16,County Durham
DL17,County Durham
DL2,County Durham
DL3,County Durham
DL4,County Durham
DL5,County Durham
DL6,North Yorkshire
DL7,North Yorkshire
DL8,North Yorkshire
DL9,North Yorkshire
DL98,County Durham
DN1,South Yorkshire
DN10,Nottinghamshire
DN11,Nottinghamshire
DN12,South Yorkshire
DN14,East Riding of Yorkshire
DN15,North Lincolnshire
DN16,North Lincolnshire
DN17,North Lincolnshire
DN18,North Lincolnshire
DN19,North Lincolnshire
DN2,South Yorkshire
DN20,North Lincolnshire
DN21,Lincolnshire
DN22,Nottinghamshire
DN3,South Yorkshire
DN31,North East Lincolnshire
DN32,North East Lincolnshire
DN33,North East Lincolnshire
DN34,North East Lincolnshire
DN35,North East Lincolnshire
DN36,North East Lincolnshire
DN37,North East Lincolnshire
DN38,North East Lincolnshire
DN39,North Lincolnshire
DN4,South Yorkshire
DN40,North Lincolnshire
DN41,North East Lincolnshire
DN5,South Yorkshire
DN55,North Lincolnshire
DN6,South Yorkshire
DN7,South Yorkshire
DN8,South Yorkshire
DN9,North Lincolnshire
DT1,Dorset
DT10,Dorset
DT11,Dorset
DT2,Dorset
DT3,Dorset
DT4,Dorset
DT5,Dorset
DT6,Dorset
DT7,Dorset
DT8,Dorset
DT9,Dorset
DY1,West Midlands
DY10,Worcestershire
DY11,Worcestershire
DY12,Worcestershire
DY13,Worcestershire
DY14,Worcestershire
DY2,West Midlands
DY3,West Midlands
DY4,West Midlands
DY5,West Midlands
DY6,West Midlands
DY7,West Midlands
DY8,West Midlands
DY9,West Midlands
E1,Greater London
E10,Greater London
E11,Greater London
E12,Greater London
E13,Greater London
E14,Greater London
E15,Greater London
E16,Greater London
E17,Greater London
E18,Greater London
E1W,Greater London
E2,Greater London
E20,Greater London
E22,Greater London
E3,Greater London
E4,Greater London
E5,Greater London
E6,Greater London
E7,Greater London
E77,Greater London
E8,Greater London
E9,Greater London
E98,Greater London
EC1A,Greater London
EC1M,Greater London
EC1N,Greater London
EC1P,Greater London
EC1R,Greater London
EC1V,Greater London
EC1Y,Greater London
EC2A,Greater London
EC2M,Greater London
EC2N,Greater London
EC2P,Greater London
EC2R,Greater London
EC2V,Greater London
EC2Y,Greater London
EC3A,Greater London
EC3B,Greater London
EC3M,Greater London
EC3N,Greater London
EC3P,Greater London
EC3R,Greater London
EC3V,Greater London
EC4A,Greater London
EC4M,Greater London
EC4N,Greater London
EC4P,Greater London
EC4R,Greater London
EC4V,Greater London
EC4Y,Greater London
EC50,Greater London
EC88,Greater London
EH1,City of Edinburgh
EH10,City of Edinburgh
EH11,City of Edinburgh
EH12,City of Edinburgh
EH13,City of Edinburgh
EH14,City of Edinburgh
EH15,City of Edinburgh
EH16,City of Edinburgh
EH17,City of Edinburgh
EH18,Midlothian
EH19,Midlothian
EH2,City of Edinburgh
EH20,Midlothian
EH21,East Lothian
EH22,Midlothian
EH23,Midlothian
EH24,Midlothian
EH25,Midlothian
EH26,Midlothian
EH27,West Lothian
EH28,West Lothian
EH29,West Lothian
EH3,City of Edinburgh
EH30,West Lothian
EH31,East Lothian
EH32,East Lothian
EH33,East Lothian
EH34,East Lothian
EH35,East Lothian
EH36,East Lothian
EH37,Midlothian
EH38,Midlothian
EH39,East Lothian
EH4,City of Edinburgh
EH40,East Lothian
EH41,East Lothian
EH42,East Lothian
EH43,Scottish Borders
EH44,Scottish Borders
EH45,Scottish Borders
EH46,Scottish Borders
EH47,West Lothian
EH48,West Lothian
EH49,West Lothian
EH5,City of Edinburgh
EH51,Falkirk
EH52,West Lothian
EH53,West Lothian
EH54,West Lothian
EH55,West Lothian
EH6,City of Edinburgh
EH7,City of Edinburgh
EH77,City of Edinburgh
EH8,City of Edinburgh
EH9,City of Edinburgh
EH91,City of Edinburgh
EH95,City of Edinburgh
EH99,City of Edinburgh
EN1,Greater London
EN10,Hertfordshire
EN11,Hertfordshire
EN2,Greater London
EN3,Greater London
EN4,Greater London
EN5,Greater London
EN6,Hertfordshire
EN7,Hertfordshire
EN77,Hertfordshire
EN8,Hertfordshire
EN9,Hertfordshire
EX1,Devon
EX10,Devon
EX11,Devon
EX12,Devon
EX13,Devon
EX14,Devon
EX15,Devon
EX16,Devon
EX17,Devon
EX18,Devon
EX19,Devon
EX2,Devon
EX20,Devon
EX21,Devon
EX22,Devon
EX23,Cornwall
EX24,Devon
EX3,Devon
EX31,Devon
EX32,Devon
EX33,Devon
EX34,Devon
EX35,Devon
EX36,Devon
EX37,Devon
EX38,Devon
EX39,Devon
EX4,Devon
EX5,Devon
EX6,Devon
EX7,Devon
EX8,Devon
EX9,Devon
FK1,Falkirk
FK10,Clackmannanshire
FK11,Clackmannanshire
FK12,Clackmannanshire
FK13,Clackmannanshire
FK14,Clackmannanshire
FK15,Stirling
FK16,Stirling
FK17,Stirling
FK18,Stirling
FK19,Stirling
FK2,Falkirk
FK20,Stirling
FK21,Stirling
FK3,Falkirk
FK4,Falkirk
FK5,Falkirk
FK6,Falkirk
FK7,Stirling
FK8,Stirling
FK9,Stirling
FY0,Lancashire
FY1,Lancashire
FY2,Lancashire
FY3,Lancashire
FY4,Lancashire
FY5,Lancashire
FY6,Lancashire
FY7,Lancashire
FY8,Lancashire
G1,Glasgow City
G11,Glasgow City
G12,Glasgow City
G13,Glasgow City
G14,Glasgow City
G15,Glasgow City
G2,Glasgow City
G20,Glasgow City
G21,Glasgow City
G22,Glasgow City
G23,Glasgow City
G3,Glasgow City
G31,Glasgow City
G32,Glasgow City
G33,Glasgow City
G34,Glasgow City
G4,Glasgow City
G40,Glasgow City
G41,Glasgow City
G42,Glasgow City
G43,Glasgow City
G44,Glasgow City
G45,Glasgow City
G46,East Renfrewshire
G5,Glasgow City
G51,Glasgow City
G52,Glasgow City
G53,Glasgow City
G58,Glasgow City
G59,Glasgow City
G60,West Dunbartonshire
G61,East Dunbartonshire
G62,East Dunbartonshire
G63,Stirling
G64,East Dunbartonshire
G65,North Lanarkshire
G66,East Dunbartonshire
G67,North Lanarkshire
G68,North Lanarkshire
G69,North Lanarkshire
G70,North Lanarkshire
G71,South Lanarkshire
G72,South Lanarkshire
G73,South Lanarkshire
G74,South Lanarkshire
G75,South Lanarkshire
G76,East Renfrewshire
G77,East Renfrewshire
G78,Renfrewshire
G79,South Lanarkshire
G80,South Lanarkshire
G81,West Dunbartonshire
G82,West Dunbartonshire
G83,West Dunbartonshire
G84,Argyll and Bute
G9,Glasgow City
G90,Glasgow City
GIR,South Ayrshire
GL1,Gloucestershire
GL10,Gloucestershire
GL11,Gloucestershire
GL12,Gloucestershire
GL13,Gloucestershire
GL14,Gloucestershire
GL15,Gloucestershire
GL16,Gloucestershire
GL17,Gloucestershire
GL18,Gloucestershire
GL19,Gloucestershire
GL2,Gloucestershire
GL20,Gloucestershire
GL3,Gloucestershire
GL4,Gloucestershire
GL5,Gloucestershire
GL50,Gloucestershire
GL51,Gloucestershire
GL52,Gloucestershire
GL53,Gloucestershire
GL54,Gloucestershire
GL55,Gloucestershire
GL56,Gloucestershire
GL6,Gloucestershire
GL7,Gloucestershire
GL8,Gloucestershire
GL9,Gloucestershire
GU1,Surrey
GU10,Surrey
GU11,Hampshire
GU12,Hampshire
GU13,Hampshire
GU14,Hampshire
GU15,Surrey
GU16,Surrey
GU17,Hampshire
GU18,Surrey
GU19,Surrey
GU2,Surrey
GU20,Surrey
GU21,Surrey
GU22,Surrey
GU23,Surrey
GU24,Surrey
GU25,Surrey
GU26,Surrey
GU27,Surrey
GU28,West Sussex
GU29,West Sussex
GU3,Surrey
GU30,Hampshire
GU31,Hampshire
GU32,Hampshire
GU33,Hampshire
GU34,Hampshire
GU35,Hampshire
GU4,Surrey
GU46,Hampshire
GU47,Berkshire
GU5,Surrey
GU51,Hampshire
GU52,Hampshire
GU6,Surrey
GU7,Surrey
GU8,Surrey
GU9,Surrey
GU95,Surrey
GY1,Guernsey
GY10,Guernsey
GY2,Guernsey
GY3,Guernsey
GY4,Guernsey
GY5,Guernsey
GY6,Guernsey
GY7,Guernsey
GY8,Guernsey
GY9,Guernsey
HA0,Greater London
HA1,Greater London
HA2,Greater London
HA3,Greater London
HA4,Greater London
HA5,Greater London
HA6,Greater London
HA7,Greater London
HA8,Greater London
HA9,Greater London
HD1,West Yorkshire
HD2,West Yorkshire
HD3,West Yorkshire
HD4,West Yorkshire
HD5,West Yorkshire
HD6,West Yorkshire
HD7,West Yorkshire
HD8,West Yorkshire
HD9,West Yorkshire
HG1,North Yorkshire
HG2,North Yorkshire
HG3,North Yorkshire
HG4,North Yorkshire
HG5,North Yorkshire
HP1,Hertfordshire
HP10,Buckinghamshire
HP11,Buckinghamshire
HP12,Buckinghamshire
HP13,Buckinghamshire
HP14,Buckinghamshire
HP15,Buckinghamshire
HP16,Buckinghamshire
HP17,Buckinghamshire
HP18,Buckinghamshire
HP19,Buckinghamshire
HP2,Hertfordshire
HP20,Buckinghamshire
HP21,Buckinghamshire
HP22,Buckinghamshire
HP23,Buckinghamshire
HP27,Buckinghamshire
HP3,Hertfordshire
HP4,Hertfordshire
HP5,Buckinghamshire
HP6,Buckinghamshire
HP7,Buckinghamshire
HP8,Buckinghamshire
HP9,Buckinghamshire
HR1,Herefordshire
HR2,Herefordshire
HR3,Herefordshire
HR4,Herefordshire
HR5,Herefordshire
HR6,Herefordshire
HR7,Herefordshire
HR8,Herefordshire
HR9,Herefordshire
HS1,Na h-Eileanan Siar
HS2,Na h-Eileanan Siar
HS3,Na h-Eileanan Siar
HS4,Na h-Eileanan Siar
HS5,Na h-Eileanan Siar
HS6,Na h-Eileanan Siar
HS7,Na h-Eileanan Siar
HS8,Na h-Eileanan Siar
HS9,Na h-Eileanan Siar
HU1,East Riding of Yorkshire
HU10,East Riding of Yorkshire
HU11,East Riding of Yorkshire
HU12,East Riding of Yorkshire
HU13,East Riding of Yorkshire
HU14,East Riding of Yorkshire
HU15,East Riding of Yorkshire
HU16,East Riding of Yorkshire
HU17,East Riding of Yorkshire
HU18,East Riding of Yorkshire
HU19,East Riding of Yorkshire
HU2,East Riding of Yorkshire
HU20,East Riding of Yorkshire
HU3,East Riding of Yorkshire
HU4,East Riding of Yorkshire
